state_fips,county_fips,city_name,city_slug,parcel_count,lat,lon,parcel_source,zoning_source_kind,zoning_source_detail,zoning_source_url,vacancy_source,demand_source,waza_parcels,zoned_parcels,value_parcels,primary_zoning_jurisdiction,demand_generator_emitted
24,24510,Baltimore,baltimore,223139,39.311789,-76.618126,baltimore_egis,baltimore_egis_overlay,Baltimore City zoning districts + curated Article 32 YAML,https://geodata.baltimorecity.gov/,baltimore_assessor_raw_properties,auto_city_centroid,0,223120,0,baltimore_city,yes
53,53001,Othello city,othello_city,2739,46.822681,-119.164315,watech_current_parcels,waza_statewide,othello_city,https://services6.arcgis.com/tboeqGwETr5ppr5Q/arcgis/rest/services/WAZA_Prototype_Layers/FeatureServer/0,watech_VALUE_BLDG_VALUE_LAND,auto_city_centroid,2729,2729,2739,othello_city,yes
53,53001,Ritzville city,ritzville_city,1177,47.125791,-118.377621,watech_current_parcels,waza_statewide,ritzville_city,https://services6.arcgis.com/tboeqGwETr5ppr5Q/arcgis/rest/services/WAZA_Prototype_Layers/FeatureServer/0,watech_VALUE_BLDG_VALUE_LAND,auto_city_centroid,1171,1171,1177,ritzville_city,yes
53,53001,Lind town,lind_town,544,46.971816,-118.616139,watech_current_parcels,waza_statewide,waza configured for county — populate/join remaining (Lind town),https://services6.arcgis.com/tboeqGwETr5ppr5Q/arcgis/rest/services/WAZA_Prototype_Layers/FeatureServer/0,watech_VALUE_BLDG_VALUE_LAND,auto_city_centroid,1,1,544,adams_unincorporated,yes
53,53001,Washtucna town,washtucna_town,263,46.752495,-118.312698,watech_current_parcels,waza_statewide,waza configured for county — populate/join remaining (Washtucna town),https://services6.arcgis.com/tboeqGwETr5ppr5Q/arcgis/rest/services/WAZA_Prototype_Layers/FeatureServer/0,watech_VALUE_BLDG_VALUE_LAND,auto_city_centroid,2,2,263,adams_unincorporated,yes
53,53001,Hatton town,hatton_town,81,46.776378,-118.829094,watech_current_parcels,waza_statewide,waza configured for county — populate/join remaining (Hatton town),https://services6.arcgis.com/tboeqGwETr5ppr5Q/arcgis/rest/services/WAZA_Prototype_Layers/FeatureServer/0,watech_VALUE_BLDG_VALUE_LAND,auto_city_centroid,0,0,81,,yes
53,53003,Clarkston city,clarkston_city,2898,46.412959,-117.049863,watech_current_parcels,waza_statewide,waza configured for county — populate/join remaining (Clarkston city),https://services6.arcgis.com/tboeqGwETr5ppr5Q/arcgis/rest/services/WAZA_Prototype_Layers/FeatureServer/0,watech_VALUE_BLDG_VALUE_LAND,auto_city_centroid,7,7,2898,asotin_unincorporated,yes
53,53003,Asotin city,asotin_city,590,46.337444,-117.043462,watech_current_parcels,waza_statewide,asotin_city,https://services6.arcgis.com/tboeqGwETr5ppr5Q/arcgis/rest/services/WAZA_Prototype_Layers/FeatureServer/0,watech_VALUE_BLDG_VALUE_LAND,auto_city_centroid,587,587,590,asotin_city,yes
53,53005,Kennewick city,kennewick_city,10198,46.196666,-119.172046,watech_current_parcels,city_gis_catalog,kennewick_city,https://maps.ci.kennewick.wa.us/server/rest/services/Public/AllGISLayers/FeatureServer/59,watech_VALUE_BLDG_VALUE_LAND,auto_city_centroid,0,10189,10198,kennewick_city,yes
53,53005,Richland city,richland_city,8779,46.263853,-119.288212,watech_current_parcels,city_gis_catalog,richland_city,https://gisweb24.ci.richland.wa.us/arcgis24web/rest/services/Richland/Zoning/MapServer/0,watech_VALUE_BLDG_VALUE_LAND,auto_city_centroid,0,8522,8779,richland_city,yes
53,53005,West Richland city,west_richland_city,2360,46.284824,-119.358768,watech_current_parcels,county_or_local_overlay_present,zoning_code already on parcels,,watech_VALUE_BLDG_VALUE_LAND,auto_city_centroid,0,2355,2360,west_richland_city,yes
53,53005,Prosser city,prosser_city,931,46.204198,-119.772691,watech_current_parcels,county_or_local_overlay_present,zoning_code already on parcels,,watech_VALUE_BLDG_VALUE_LAND,auto_city_centroid,0,919,931,prosser_city,yes
53,53005,Benton City city,benton_city_city,519,46.268920,-119.489121,watech_current_parcels,county_or_local_overlay_present,zoning_code already on parcels,,watech_VALUE_BLDG_VALUE_LAND,auto_city_centroid,0,515,519,benton_city_city,yes
53,53007,Wenatchee city,wenatchee_city,6820,47.419828,-120.324546,watech_current_parcels,county_or_local_overlay_present,zoning_code already on parcels,,watech_VALUE_BLDG_VALUE_LAND,auto_city_centroid,0,6820,6820,wenatchee_city,yes
53,53007,Chelan city,chelan_city,1615,47.841113,-120.026964,watech_current_parcels,county_or_local_overlay_present,zoning_code already on parcels,,watech_VALUE_BLDG_VALUE_LAND,auto_city_centroid,0,1614,1615,chelan_city,yes
53,53007,Leavenworth city,leavenworth_city,832,47.593026,-120.668458,watech_current_parcels,county_or_local_overlay_present,zoning_code already on parcels,,watech_VALUE_BLDG_VALUE_LAND,auto_city_centroid,0,832,832,leavenworth_city,yes
53,53007,Cashmere city,cashmere_city,816,47.519169,-120.468704,watech_current_parcels,county_or_local_overlay_present,zoning_code already on parcels,,watech_VALUE_BLDG_VALUE_LAND,auto_city_centroid,0,815,816,cashmere_city,yes
53,53007,Entiat city,entiat_city,365,47.680754,-120.215087,watech_current_parcels,county_or_local_overlay_present,zoning_code already on parcels,,watech_VALUE_BLDG_VALUE_LAND,auto_city_centroid,0,359,365,entiat_city,yes
53,53009,Port Angeles city,port_angeles_city,10705,48.112922,-123.445415,watech_current_parcels,waza_statewide,port_angeles_city,https://services6.arcgis.com/tboeqGwETr5ppr5Q/arcgis/rest/services/WAZA_Prototype_Layers/FeatureServer/0,watech_VALUE_BLDG_VALUE_LAND,auto_city_centroid,9564,9564,10705,port_angeles_city,yes
53,53009,Sequim city,sequim_city,3854,48.076895,-123.098676,watech_current_parcels,waza_statewide,sequim_city,https://services6.arcgis.com/tboeqGwETr5ppr5Q/arcgis/rest/services/WAZA_Prototype_Layers/FeatureServer/0,watech_VALUE_BLDG_VALUE_LAND,auto_city_centroid,3684,3684,3854,sequim_city,yes
53,53009,Forks city,forks_city,1634,47.951250,-124.386365,watech_current_parcels,waza_statewide,forks_city,https://services6.arcgis.com/tboeqGwETr5ppr5Q/arcgis/rest/services/WAZA_Prototype_Layers/FeatureServer/0,watech_VALUE_BLDG_VALUE_LAND,auto_city_centroid,1633,1633,1634,forks_city,yes
53,53011,Vancouver city,vancouver_city,58759,45.633930,-122.575571,watech_current_parcels,county_or_local_overlay_present,zoning_code already on parcels,,watech_VALUE_BLDG_VALUE_LAND,auto_city_centroid,0,58759,58759,vancouver_city,yes
53,53011,Camas city,camas_city,11793,45.602728,-122.427375,watech_current_parcels,county_or_local_overlay_present,zoning_code already on parcels,,watech_VALUE_BLDG_VALUE_LAND,auto_city_centroid,0,11793,11793,camas_city,yes
53,53011,Battle Ground city,battle_ground_city,8886,45.781564,-122.541597,watech_current_parcels,county_or_local_overlay_present,zoning_code already on parcels,,watech_VALUE_BLDG_VALUE_LAND,auto_city_centroid,0,8886,8886,battle_ground_city,yes
53,53011,Washougal city,washougal_city,7189,45.586459,-122.344392,watech_current_parcels,county_or_local_overlay_present,zoning_code already on parcels,,watech_VALUE_BLDG_VALUE_LAND,auto_city_centroid,0,7188,7189,washougal_city,yes
53,53011,Ridgefield city,ridgefield_city,6916,45.811183,-122.710795,watech_current_parcels,county_or_local_overlay_present,zoning_code already on parcels,,watech_VALUE_BLDG_VALUE_LAND,auto_city_centroid,0,6915,6916,ridgefield_city,yes
